X,Y,ObjectId,ogcfid,title,description,url_1,create_date,last_date,numeric_1,date_1,date_2,list_1,datum_exportu,GlobalID
1846959.146,6304141.1546,1,8388,František Kaláb,"malíř, významný organizátor kulturního života ve 30. a 40. letech 20. století v Brně",https://www.encyklopedie.brna.cz/home-mmb/?acc=profil_osobnosti&load=1762,2019/02/07 00:00:00+00,2020/04/01 00:00:00+00,,1908/11/11 00:00:00+00,1950/12/04 00:00:00+00,63,2023/08/17 00:00:00+00,{5C0EA6DE-A225-4932-A1D7-120B11D4041A}
1846816.0114,6303977.2214,2,7862,Vítězslava Kaprálová,"hudební skladatelka	",http://encyklopedie.brna.cz/home-mmb/?acc=profil_osobnosti&load=171,,2023/03/24 00:00:00+00,,1915/01/24 00:00:00+00,1940/06/16 00:00:00+00,63,2023/08/17 00:00:00+00,{9F12B714-560A-4A80-AB99-C72187C11302}
1847518.4485,6303698.2802,3,8389,Jaroslav Kallab,"profesor trestního práva a dějin právní filozofie na Právnické fakultě Masarykovy univerzity v Brně, předseda Zemské péče o mládež v Brně a zakladatel časopisu Péče o mládež",https://www.encyklopedie.brna.cz/home-mmb/?acc=profil_osobnosti&load=163,2019/02/07 00:00:00+00,2019/02/07 00:00:00+00,,1879/06/24 00:00:00+00,1942/02/10 00:00:00+00,65,2023/08/17 00:00:00+00,{1DACFFDA-FCC6-46BC-9F82-05B679946502}
1847409.9788,6303692.1168,4,8390,Josef Kantor,"profesor lesního šlechtitelství a zalesňován; v letech 1958–1963 rektor Vysoké školy zemědělské v Brně",https://www.encyklopedie.brna.cz/home-mmb/?acc=profil_osobnosti&load=2806,2019/02/07 00:00:00+00,2019/02/07 00:00:00+00,,1917/01/11 00:00:00+00,1985/03/11 00:00:00+00,64,2023/08/17 00:00:00+00,{EC2D6570-28EB-425E-87E6-DE295ED50C5C}
1846807.2617,6303932.7823,5,7863,Jan Trefulka,"spisovatel, dramatik	",http://encyklopedie.brna.cz/home-mmb/?acc=profil_osobnosti&load=16223,,2023/03/24 00:00:00+00,,1929/05/15 00:00:00+00,2012/11/22 00:00:00+00,63,2023/08/17 00:00:00+00,{CD0FE076-E3F9-4A41-BC86-026089190E7A}
1847355.3989,6303480.3334,6,8560,Adolf Kellner,"profesor slovanské jazykovědy, dialektolog, bohemista a romanista",https://www.encyklopedie.brna.cz/home-mmb/?acc=profil_osobnosti&load=13944,2019/02/16 00:00:00+00,2019/02/16 00:00:00+00,,1904/03/27 00:00:00+00,1953/05/31 00:00:00+00,64,2023/08/17 00:00:00+00,{EBFD372D-B3AD-4590-9BC0-A5BC69E2ED27}
1847094.6664,6303997.9087,7,7864,Ignatz Vališ,"	ředitel 1. c. k. slovanského gymnázia v Brně	",http://encyklopedie.brna.cz/home-mmb/?acc=profil_osobnosti&load=3987,,,,1861/07/20 00:00:00+00,1941/11/14 00:00:00+00,61,2023/08/17 00:00:00+00,{F0648E56-D484-47ED-9C46-790FF810ACB8}
1846814.7646,6304090.1252,8,8561,Bohumil Kladivo,"geodet, astronom, vysokoškolský pedagog - profesor brněnské české techniky a Masarykovy univerzity v Brně",https://www.encyklopedie.brna.cz/home-mmb/?acc=profil_osobnosti&load=819,2019/02/16 00:00:00+00,2019/02/16 00:00:00+00,,1888/06/24 00:00:00+00,1943/02/08 00:00:00+00,64,2023/08/17 00:00:00+00,{0FDC56D9-D50F-41DF-82F4-CC2A1712EABA}
1847272.1987,6303866.0729,9,7865,Marie Bakalová,"koncertní a operní pěvkyně	",http://encyklopedie.brna.cz/home-mmb/?acc=profil_osobnosti&load=16,,2023/03/24 00:00:00+00,,1904/04/07 00:00:00+00,1992/10/18 00:00:00+00,63,2023/08/17 00:00:00+00,{4E9BEA81-805C-45C4-B046-5772C2B44B9F}
1847540.8349,6303779.5285,10,8562,Herman Klebek,senior a farář evangelické obce v Brně,https://www.encyklopedie.brna.cz/home-mmb/?acc=profil_osobnosti&load=31768,2019/02/16 00:00:00+00,2019/02/16 00:00:00+00,,1845/05/09 00:00:00+00,1906/12/15 00:00:00+00,52,2023/08/17 00:00:00+00,{0093C1A3-7B92-473D-9BF0-D153419753A1}
1846777.929,6303930.671,11,7866,Zora Šemberová,"tanečnice, choreografka, pedagožka	",http://encyklopedie.brna.cz/home-mmb/?acc=profil_osobnosti&load=31115,,2023/03/24 00:00:00+00,,1913/03/13 00:00:00+00,2012/10/09 00:00:00+00,63,2023/08/17 00:00:00+00,{78C03D47-B582-4401-AF15-EAD22BBFF821}
1847361.1541,6304067.9223,12,8563,Theodor Kletzl,"majitel realit, stavitel nájemních domů v Brně",https://www.encyklopedie.brna.cz/home-mmb/?acc=profil_osobnosti&load=25462,2019/02/16 00:00:00+00,2019/02/16 00:00:00+00,,1849/02/14 00:00:00+00,1911/10/22 00:00:00+00,,2023/08/17 00:00:00+00,{9DEE4290-13F6-4753-B49A-68EE7A4AFD76}
1847377.5626,6304071.7022,13,7867,Jaroslav Kursa,"	autor československé (české) vlajky	",http://encyklopedie.brna.cz/home-mmb/?acc=profil_osobnosti&load=6028,,,,1875/10/12 00:00:00+00,1950/06/12 00:00:00+00,64,2023/08/17 00:00:00+00,{7EAB0897-65F5-47E8-AE08-A73F2AD5E98C}
1847342.586,6303849.5403,14,8564,Arnold Klíčník,"komerční rada, majitel opticko-mechanického závodu v Brně, význačná osobnost českého Brna",https://www.encyklopedie.brna.cz/home-mmb/?acc=profil_osobnosti&load=12524,2019/02/16 00:00:00+00,2019/02/16 00:00:00+00,,1857/07/08 00:00:00+00,1935/05/15 00:00:00+00,61,2023/08/17 00:00:00+00,{BDFE0C79-04AC-4637-8387-F8D642D9A053}
1847347.484,6303325.079,15,7868,František Kalivoda,"	architekt	",http://encyklopedie.brna.cz/home-mmb/?acc=profil_osobnosti&load=14055,,2020/07/29 00:00:00+00,,1913/04/09 00:00:00+00,1971/05/18 00:00:00+00,51,2023/08/17 00:00:00+00,{77D8DEB4-CF18-4A3A-9637-F8955A874617}
1846932.5295,6304166.746,16,8565,Antonín Klobouk,"profesor buiatriky Vysoké školy zvěrolékařské v Brně, objevitel nakažlivé obrny prasat (Těšínské choroby tradované jako Kloboukova choroba prasat), pracoval na výzkumu slintavky a kulhavky, rektor Vysoké školy veterinární v letech 1946",https://www.encyklopedie.brna.cz/home-mmb/?acc=profil_osobnosti&load=2695,2019/02/16 00:00:00+00,2023/03/06 00:00:00+00,,1855/09/18 00:00:00+00,1956/11/12 00:00:00+00,64,2023/08/17 00:00:00+00,{7AA4168F-92A0-4AA8-B879-D44ACCDAA528}
